Start date,Subject
2023-02-28,2ㆍ28민주운동 기념일
2023-03-03,납세자의 날
2023-03-08,3ㆍ8민주의거 기념일
2023-03-15,상공의 날
2023-03-19,의용소방대의 날
2023-03-24,서해수호의 날
2023-04-03,4ㆍ3희생자 추념일
2023-04-05,식목일
2023-04-07,보건의 날
2023-04-11,도시농업의 날
2023-04-19,4ㆍ19혁명 기념일
2023-04-20,장애인의 날
2023-04-21,과학의 날
2023-04-22,정보통신의 날
2023-04-25,법의 날
2023-04-28,충무공 이순신 탄신일
2023-05-01,근로자의 날
2023-05-05,어린이 날
2023-05-08,어버이 날
2023-05-10,유권자의 날
2023-05-11,입양의 날
2023-05-14,식품안전의 날
2023-05-15,성년의 날
2023-05-18,5ㆍ18민주화운동 기념일
2023-05-19,발명의 날
2023-05-20,세계인의 날
2023-05-21,부부의 날
2023-05-31,바다의 날
2023-06-01,의병의 날
2023-06-05,환경의 날
2023-06-06,현충일
2023-06-09,구강보건의 날
2023-06-10,6ㆍ10만세운동 기념일
2023-06-24,전자정부의 날
2023-06-25,6ㆍ25전쟁일
2023-06-26,마약퇴치의 날
2023-06-28,철도의 날
2023-07-11,인구의 날
2023-07-12,정보보호의 날
2023-07-27,유엔군 참전의 날
2023-08-08,섬의 날
2023-09-07,곤충의 날
2023-09-10,해양경찰의 날
2023-09-16,청년의 날
2023-09-30,조달의 날
2023-10-01,국군의 날
2023-10-02,노인의 날
2023-10-05,세계 한인의 날
2023-10-08,재향군인의 날
2023-10-10,정신건강의 날
2023-10-15,체육의 날
2023-10-16,부마민주항쟁 기념일
2023-10-21,경찰의 날
2023-10-24,국제연합일
2023-10-28,교정의 날
2023-10-29,지방자치의 날
2023-10-31,금융의 날
2023-11-03,학생독립운동 기념일
2023-11-09,소방의 날
2023-11-11,유엔참전용사 국제추모의 날
2023-11-17,순국선열의 날
2023-11-19,아동학대예방의 날
2023-11-22,김치의 날
2023-12-03,소비자의 날
2023-12-05,자원봉사자의 날
2023-12-27,원자력 안전 및 진흥의 날
